precipitationLast6Hours,visibility,barometricPressure,windDirection,relativeHumidity,heatIndex,rawMessage,timestamp,maxTemperatureLast24Hours,elevation,temperature,minTemperatureLast24Hours,precipitationLastHour,precipitationLast3Hours,dewpoint,windChill,windGust,seaLevelPressure,windSpeed,textDescription
,16090,102130,30,58.142820591561,,KEWR 031451Z 03009KT 10SM FEW023 BKN250 17/09 A3016 RMK AO2 SLP214 T01720089 50004,2022-05-03T14:51:00+00:00,,9,17.2,,,,8.9,,,102140,16.56,Mostly Cloudy
,8050,101520,50,93.082849756907,,KNYC 061451Z AUTO 05004KT 5SM -RA BR FEW043 OVC080 14/13 A2998 RMK AO2 SLP143 P0001 60007 T01390128 58009 $,2022-05-06T14:51:00+00:00,,27,13.9,,0,0,12.8,,,101430,7.56,Light Rain and Fog/Mist
,16090,101690,290,9.4091971351941,,KNYC 292251Z AUTO 29008KT 250V330 10SM CLR 16/M17 A3003 RMK AO2 SLP161 T01561167 $,2022-04-29T22:51:00+00:00,,27,15.6,,,,-16.7,,,101610,14.76,Clear
,16090,102070,,77.073390888716,,KLGA 032251Z 05012KT 10SM BKN025 BKN170 OVC250 12/08 A3014 RMK AO2 SLP205 T01220083 $,2022-05-03T22:51:00+00:00,,9,12.2,,,,8.3,,,102050,,Cloudy
,8050,,,,,KJFK 021539Z 09014KT 5SM -DZ BR OVC009 12/11 A3004 RMK AO2 DZB11 P0000 T01220106,2022-05-02T15:39:00+00:00,,7,,,0,,,,,,,Light Drizzle and Fog/Mist
,16090,101800,20,80.418244090481,,KTEB 051051Z 02003KT 10SM CLR 13/10 A3006 RMK AO2 SLP180 T01330100,2022-05-05T10:51:00+00:00,,3,13.3,,,,10,,,101800,5.4,Clear
,16090,101860,170,66.304797658581,,KJFK 020151Z 17012KT 10SM FEW080 BKN100 12/06 A3008 RMK AO2 SLP186 T01220061,2022-05-02T01:51:00+00:00,,7,12.2,,,,6.1,,,101860,22.32,Mostly Cloudy
,16090,101830,,18.800679553469,,KLGA 301751Z VRB03KT 10SM CLR 17/M07 A3007 RMK AO2 SLP182 T01671072 10167 20094 58015,2022-04-30T17:51:00+00:00,,9,16.7,,,,-7.2,,,101820,5.4,Clear
,16090,101730,110,55.493664570432,,KEWR 012351Z 11008KT 10SM FEW070 BKN100 OVC170 14/06 A3004 RMK AO2 SLP173 T01440056 10206 20144 58010,2022-05-01T23:51:00+00:00,,9,14.4,,,,5.6,,,101730,14.76,Cloudy
,16090,102030,340,27.818079045457,,KJFK 300551Z 34012KT 10SM CLR 09/M08 A3013 RMK AO2 SLP203 T00941083 10144 20094 50009,2022-04-30T05:51:00+00:00,,7,9.4,,,,-8.3,6.414479485106667,,102030,22.32,Clear
,16090,101590,0,72.437660318587,,KNYC 050151Z AUTO 00000KT 10SM OVC070 17/12 A3000 RMK AO2 SLP148 T01720122 $,2022-05-05T01:51:00+00:00,,27,17.2,,,,12.2,,,101480,0,Cloudy
,4830,101560,,92.285708289197,,KTEB 041451Z VRB03KT 3SM BR OVC007 11/09 A2999 RMK AO2 RAE25 SLP156 P0001 60003 T01060094 51007,2022-05-04T14:51:00+00:00,,3,10.6,,0,0,9.4,,,101560,5.4,Fog/Mist
,12870,101730,70,85.795186713907,,KTEB 021415Z 07004KT 8SM BR BKN012 OVC023 12/09 A3004 RMK AO2 T01170094,2022-05-02T14:15:00+00:00,,3,11.7,,,,9.4,,,,7.56,Fog/Mist
,16090,101930,0,60.908961322286,,KLGA 010651Z 00000KT 10SM CLR 10/03 A3010 RMK AO2 SLP192 T01000028,2022-05-01T06:51:00+00:00,,9,10,,,,2.8,,,101920,0,Clear
,16090,101930,120,82.880385175758,,KEWR 040351Z 12008KT 10SM OVC008 11/08 A3010 RMK AO2 SLP193 T01110083,2022-05-04T03:51:00+00:00,,9,11.1,,,,8.3,,,101930,14.76,Cloudy
,11270,101900,120,86.202442841334,,KLGA 040451Z 12010KT 7SM -DZ OVC006 10/08 A3009 RMK AO2 SLP189 P0000 T01000078 401610100 $,2022-05-04T04:51:00+00:00,,9,10,,0,,7.8,,,101890,18.36,Light Drizzle
,16090,102030,,50.055164265978,,KNYC 051451Z AUTO VRB05KT 10SM CLR 17/07 A3013 RMK AO2 SLP193 T01720067 50007 $,2022-05-05T14:51:00+00:00,,27,17.2,,,,6.7,,,101930,9.36,Clear
,16090,101490,180,66.775731951175,,KTEB 060651Z 18004KT 10SM CLR 14/08 A2997 RMK AO2 SLP149 T01440083,2022-05-06T06:51:00+00:00,,3,14.4,,,,8.3,,,101490,7.56,Clear
,16090,101930,180,25.709266126067,,KLGA 011751Z 18010KT 10SM FEW160 SCT200 BKN250 18/M02 A3010 RMK AO2 SLP193 T01831017 10189 20106 56015,2022-05-01T17:51:00+00:00,,9,18.3,,,,-1.7,,,101930,18.36,Mostly Cloudy
,16090,101800,0,51.800359971891,,KNYC 060251Z AUTO 00000KT 10SM CLR 17/07 A3006 RMK AO2 SLP169 T01720072 53002 $,2022-05-06T02:51:00+00:00,,27,17.2,,,,7.2,,,101690,0,Clear
